"species","synonyms"
"Euphlyctis ghoshi","Rana ghoshi"
"Euphlyctis hexadactylus","Dactylethra bengalensis"
"Euphlyctis hexadactylus","Dicroglossus hexadactyla"
"Euphlyctis hexadactylus","Euphlyctis hexadactyla"
"Euphlyctis hexadactylus","Euphlyctis hexadactylus"
"Euphlyctis hexadactylus","Occidozyga (Euphlyctis) hexadactyla"
"Euphlyctis hexadactylus","Occidozyga hexadactyla"
"Euphlyctis hexadactylus","Phrynoderma cutiporum"
"Euphlyctis hexadactylus","Rana (Dicroglossus) hexadactyla"
"Euphlyctis hexadactylus","Rana (Euphlyctis) hexadactyla"
"Euphlyctis hexadactylus","Rana (Rana) hexadactyla"
"Euphlyctis hexadactylus","Rana cutipora"
"Euphlyctis hexadactylus","Rana hexadactyla"
"Euphlyctis hexadactylus","Rana robusta"
"Euphlyctis hexadactylus","Rana saparoua"
"Euphlyctis kalasgramensis","Euphlyctis kalasgramensis"
"Euphlyctis karaavali","Euphlyctis karaavali"
"Euphlyctis mudigere","Euphlyctis mudigere"
"Fejervarya cancrivora","Dicroglossus cancrivorus"
"Fejervarya cancrivora","Euphlyctis cancrivora"
"Fejervarya cancrivora","Fejervarya cancrivora"
"Fejervarya cancrivora","Fejervarya cancrivorus"
"Fejervarya cancrivora","Fejervarya raja"
"Fejervarya cancrivora","Hoplobatrachus cancrivorus"
"Fejervarya cancrivora","Hoplobatrachus raja"
"Fejervarya cancrivora","Limnonectes (Fejervarya) cancrivorus"
"Fejervarya cancrivora","Limnonectes (Fejervarya) raja"
"Fejervarya cancrivora","Limnonectes (Hoplobatrachus) cancrivorus"
"Fejervarya cancrivora","Limnonectes (Hoplobatrachus) raja"
"Fejervarya cancrivora","Limnonectes cancrivorus"
"Fejervarya cancrivora","Limnonectes raja"
"Fejervarya cancrivora","Rana (Euphlyctis) cancrivora"
"Fejervarya cancrivora","Rana (Rana) crancrivora"
"Fejervarya cancrivora","Rana cancrivora"
"Fejervarya cancrivora","Rana cancrivora cancrivora"
"Fejervarya cancrivora","Rana cancrivora raja"
"Fejervarya cancrivora","Rana crancrivora"
"Fejervarya cancrivora","Rana raja"
"Fejervarya cancrivora","Rana tigerina angustopalmata"
"Fejervarya cancrivora","Rana tigrina var. angustopalmata"
"Fejervarya cancrivora","Rana tigrina var. cancrivora"
"Fejervarya iskandari","Fejervarya iskandari"
"Fejervarya kawamurai","Fejervarya kawamurai"
"Fejervarya kupitzi","Fejervarya kupitzi"
"Fejervarya limnocharis","Dicroglossus limnocharis"
"Fejervarya limnocharis","Dicroglossus limnocharis limnocharis"
"Fejervarya limnocharis","Euphlyctis limnocharis"
"Fejervarya limnocharis","Fejervarya limnocharis"
"Fejervarya limnocharis","Fejervarya wasl"
"Fejervarya limnocharis","Limnonectes (Fejervarya) limnocharis"
"Fejervarya limnocharis","Limnonectes limnocharis"
"Fejervarya limnocharis","Rana (Dicroglossus) limnocharis limnocharis"
"Fejervarya limnocharis","Rana (Euphlyctis) limnocharis"
"Fejervarya limnocharis","Rana (Fejervarya) limnocharis"
"Fejervarya limnocharis","Rana (Rana) limnocharis"
"Fejervarya limnocharis","Rana gracilis"
"Fejervarya limnocharis","Rana limnocharis"
"Fejervarya limnocharis","Rana limnocharis limnocharis"
"Fejervarya limnocharis","Rana lymnocharis"
"Fejervarya limnocharis","Rana wasl"
"Fejervarya moodiei","Fejervarya moodiei"
"Fejervarya moodiei","Hoplobatrachus moodiei"
"Fejervarya moodiei","Rana moodiei"
"Fejervarya multistriata","Fejervarya multistriata"
"Fejervarya multistriata","Rana gracilis"
"Fejervarya multistriata","Rana multistriata"
"Fejervarya orissaensis","Fejervarya orissaensis"
"Fejervarya orissaensis","Limnonectes orissaensis"
"Fejervarya pulla","Fejervarya pulla"
"Fejervarya pulla","Rana gracilis var. pulla"
"Fejervarya sakishimensis","Fejervarya sakishimensis"
"Fejervarya triora","Fejervarya triora"
"Fejervarya verruculosa","Euphlyctis verruculosa"
"Fejervarya verruculosa","Fejervarya verruculosa"
"Fejervarya verruculosa","Fejervarya verruculosus"
"Fejervarya verruculosa","Hoplobatrachus verruculosus"
"Fejervarya verruculosa","Limnonectes (Fejervarya) verruculosus"
"Fejervarya verruculosa","Limnonectes (Hoplobatrachus) verruculosus"
"Fejervarya verruculosa","Limnonectes verruculosus"
"Fejervarya verruculosa","Rana (Euphlyctis) verruculosa"
"Fejervarya verruculosa","Rana (Rana) verruculosa"
"Fejervarya verruculosa","Rana cancrivora verruculosa"
"Fejervarya verruculosa","Rana tigrina var. verruculosa"
"Fejervarya verruculosa","Rana verruculosa"
"Fejervarya vittigera","Euphlyctis limnocharis vittigera"
"Fejervarya vittigera","Fejervarya vittiger"
"Fejervarya vittigera","Fejervarya vittigera"
"Fejervarya vittigera","Limnonectes (Fejervarya) vittiger"
"Fejervarya vittigera","Limnonectes vittiger"
"Fejervarya vittigera","Rana (Fejervarya) vittigera"
"Fejervarya vittigera","Rana limnocharis vittigera"
"Fejervarya vittigera","Rana vittigera"
"Hoplobatrachus crassus","Dicroglossus crassa"
"Hoplobatrachus crassus","Hoplobatrachus ceylanicus"
"Hoplobatrachus crassus","Hoplobatrachus crassus"
"Hoplobatrachus crassus","Limnonectes (Hoplobatrachus) crassus"
"Hoplobatrachus crassus","Limnonectes crassus"
"Hoplobatrachus crassus","Rana (Dicroglossus) crassa"
"Hoplobatrachus crassus","Rana (Hoplobatrachus) ceylanicus"
"Hoplobatrachus crassus","Rana ceylanicus"
"Hoplobatrachus crassus","Rana crassa"
"Hoplobatrachus crassus","Rana malabarica"
"Hoplobatrachus crassus","Rana tigrina crassa"
"Hoplobatrachus crassus","Rana tigrina var. ceylanica"
"Hoplobatrachus crassus","Rana tigrina var. crassa"
"Hoplobatrachus litoralis","Hoplobatrachus litoralis"
"Hoplobatrachus occipitalis","Dicroglossus occipitalis"
"Hoplobatrachus occipitalis","Euphlyctis occipitalis"
"Hoplobatrachus occipitalis","Fejervarya occipitalis"
"Hoplobatrachus occipitalis","Hoplobatrachus occipitalis"
"Hoplobatrachus occipitalis","Limnonectes (Hoplobatrachus) occipitalis"
"Hoplobatrachus occipitalis","Limnonectes occipitalis"
"Hoplobatrachus occipitalis","Rana (Dicroglossus) occipitalis"
"Hoplobatrachus occipitalis","Rana (Euphlyctis) occipitalis"
"Hoplobatrachus occipitalis","Rana (Fejervarya) occipitalis"
"Hoplobatrachus occipitalis","Rana (Rana) occipitalis"
"Hoplobatrachus occipitalis","Rana (Rana) tigrina occipitalis"
"Hoplobatrachus occipitalis","Rana bragantina"
"Hoplobatrachus occipitalis","Rana esculenta bilmaensis"
"Hoplobatrachus occipitalis","Rana mwanzae"
"Hoplobatrachus occipitalis","Rana occipitalis"
"Hoplobatrachus occipitalis","Rana tigrina occipitalis"
"Hoplobatrachus occipitalis","Rana tigrina var. occipitalis"
"Hoplobatrachus occipitalis","Ranosoma schereri"
"Hoplobatrachus rugulosus","Euphlyctis rugulosa"
"Hoplobatrachus rugulosus","Euphlyctis tigerina rugulosa"
"Hoplobatrachus rugulosus","Hoplobatrachus chinensis"
"Hoplobatrachus rugulosus","Hoplobatrachus rugulosus"
"Hoplobatrachus rugulosus","Hydrostentor pantherinus"
"Hoplobatrachus rugulosus","Limnonectes (Hoplobatrachus) rugulosus"
"Hoplobatrachus rugulosus","Limnonectes rugulosus"
"Hoplobatrachus rugulosus","Rana (Euphlyctis) rugulosa"
"Hoplobatrachus rugulosus","Rana (Rana) tigerina var. pantherina"
"Hoplobatrachus rugulosus","Rana burkilli"
"Hoplobatrachus rugulosus","Rana chinensis"
"Hoplobatrachus rugulosus","Rana esculenta chinensis"
"Hoplobatrachus rugulosus","Rana rugulosa"
"Hoplobatrachus rugulosus","Rana tigerina pantherina"
"Hoplobatrachus rugulosus","Rana tigerina rugulosa"
"Hoplobatrachus rugulosus","Rana tigerina var. burkilli"
"Hoplobatrachus rugulosus","Rana tigerina var. pantherina"
"Hoplobatrachus rugulosus","Rana tigrina rugulosa"
"Hoplobatrachus rugulosus","Rana tigrina var. pantherina"
"Hoplobatrachus rugulosus","Tigrina rugulosa"
"Hoplobatrachus tigerinus","Dicroglossus tigerina"
"Hoplobatrachus tigerinus","Dicroglossus tigerina tigerina"
"Hoplobatrachus tigerinus","Dicroglossus tigrinus"
"Hoplobatrachus tigerinus","Euphlyctis tigerina"
"Hoplobatrachus tigerinus","Fejervarya tigrina"
"Hoplobatrachus tigerinus","Hoplobatrachus tigerinus"
"Hoplobatrachus tigerinus","Limnonectes (Hoplobatrachus) tigerinus"
"Hoplobatrachus tigerinus","Limnonectes tigerinus"
"Hoplobatrachus tigerinus","Rana (Dicroglossus) tigerina tigerina"
"Hoplobatrachus tigerinus","Rana (Euphlyctis) tigerina"
"Hoplobatrachus tigerinus","Rana (Fejervarya) tigrina"
"Hoplobatrachus tigerinus","Rana (Rana) tigrina"
"Hoplobatrachus tigerinus","Rana picta"
"Hoplobatrachus tigerinus","Rana tigerina"
"Hoplobatrachus tigerinus","Rana tigerina tigerina"
"Hoplobatrachus tigerinus","Rana tigrina"
"Hoplobatrachus tigerinus","Rana tigrina tigrina"
"Hoplobatrachus tigerinus","Tigrina tigrina"
"Limnonectes acanthi","Limnonectes (Limnonectes) acanthi"
"Limnonectes acanthi","Limnonectes acanthi"
"Limnonectes acanthi","Rana acanthi"
"Limnonectes acanthi","Rana macrodon acanthi"
"Limnonectes acanthi","Rana magna acanthi"
"Limnonectes arathooni","Limnonectes (Limnonectes) arathooni"
"Limnonectes arathooni","Limnonectes arathooni"
"Limnonectes arathooni","Rana arathooni"
"Limnonectes asperatus","Limnonectes asperatum"
"Limnonectes asperatus","Limnonectes asperatus"
"Limnonectes asperatus","Rana asperata"
"Limnonectes bannaensis","Limnonectes bannaensis"
"Limnonectes blythii","Limnonectes (Limnonectes) blythii"
"Limnonectes blythii","Limnonectes blythii"
"Limnonectes blythii","Rana (Rana) macrodon var. blythii"
"Limnonectes blythii","Rana blythi"
"Limnonectes blythii","Rana blythii"
"Limnonectes blythii","Rana fusca"
"Limnonectes blythii","Rana macrodon var. blythii"
"Limnonectes cintalubang","Limnonectes cintalubang"
"Limnonectes coffeatus","Limnonectes coffeatus"
"Limnonectes conspicillatus","Limnonectes conspicillatus"
"Limnonectes conspicillatus","Rana conspicillata"
"Limnonectes dabanus","Bourretia dabanus"
"Limnonectes dabanus","Bourretia toumanoffi"
"Limnonectes dabanus","Elachyglossa dabanus"
"Limnonectes dabanus","Elachyglossa toumanoffi"
"Limnonectes dabanus","Euphlyctis toumanoffi"
"Limnonectes dabanus","Limnonectes (Bourretia) dabanus"
"Limnonectes dabanus","Limnonectes (Bourretia) toumanoffi"
"Limnonectes dabanus","Limnonectes (Elachyglossa) dabanus"
"Limnonectes dabanus","Limnonectes (Elachyglossa) toumanoffi"
"Limnonectes dabanus","Limnonectes dabanus"
"Limnonectes dabanus","Limnonectes toumanoffi"
"Limnonectes dabanus","Rana macrognathus dabana"
"Limnonectes dabanus","Rana toumanoffi"
"Limnonectes dammermani","Limnonectes (Limnonectes) dammermani"
"Limnonectes dammermani","Limnonectes dammermani"
"Limnonectes dammermani","Rana dammermanni"
"Limnonectes dammermani","Rana microdisca dammermani"
"Limnonectes deinodon","Limnonectes deinodon"
"Limnonectes diuatus","Limnonectes (Limnonectes) diuatus"
"Limnonectes diuatus","Limnonectes diuatus"
"Limnonectes diuatus","Rana diuata"
"Limnonectes doriae","Bourretia doriae"
"Limnonectes doriae","Dicroglossus doriae"
"Limnonectes doriae","Elachyglossa doriae"
"Limnonectes doriae","Euphlyctis doriae"
"Limnonectes doriae","Limnonectes (Bourretia) doriae"
"Limnonectes doriae","Limnonectes (Elachyglossa) doriae"
"Limnonectes doriae","Limnonectes doriae"
"Limnonectes doriae","Rana (Euphlyctis) doriae"
"Limnonectes doriae","Rana (Rana) doriae"
"Limnonectes doriae","Rana doriae"
"Limnonectes ferneri","Limnonectes ferneri"
"Limnonectes finchi","Limnonectes (Limnonectes) finchi"
"Limnonectes finchi","Limnonectes finchi"
"Limnonectes finchi","Rana finchi"
"Limnonectes finchi","Rana microdisca finchi"
"Limnonectes fragilis","Limnonectes (Limnonectes) fragilis"
"Limnonectes fragilis","Limnonectes fragilis"
"Limnonectes fragilis","Rana fragilis"
"Limnonectes fujianensis","Limnonectes fujianensis"
"Limnonectes fujianensis","Nyctibatrachus sinensis"
"Limnonectes grunniens","Dicroglossus grunniens"
"Limnonectes grunniens","Euphlyctis grunniens"
"Limnonectes grunniens","Limnonectes (Limnonectes) grunniens"
"Limnonectes grunniens","Limnonectes grunniens"
"Limnonectes grunniens","Rana (Euphlyctis) grunniens"
"Limnonectes grunniens","Rana (Rana) grunniens"
"Limnonectes grunniens","Rana grunniens"
"Limnonectes grunniens","Rana histrionica"
"Limnonectes grunniens","Rana hydromedusa"
"Limnonectes grunniens","Rana subsaltans"
"Limnonectes gyldenstolpei","Bourretia pileatus"
"Limnonectes gyldenstolpei","Elachyglossa gyldenstolpei"
"Limnonectes gyldenstolpei","Euphlyctis pileata"
"Limnonectes gyldenstolpei","Limnonectes (Bourretia) pileatus"
"Limnonectes gyldenstolpei","Limnonectes (Elachyglossa) gyldenstolpei"
"Limnonectes gyldenstolpei","Limnonectes gyldenstolpei"
"Limnonectes gyldenstolpei","Limnonectes pileatus"
"Limnonectes gyldenstolpei","Rana (Euphlyctis) pileata"
"Limnonectes gyldenstolpei","Rana (Rana) pileata"
"Limnonectes gyldenstolpei","Rana pileata"
"Limnonectes hascheanus","Euphlyctis hascheana"
"Limnonectes hascheanus","Limnonectes (Taylorana) hascheanus"
"Limnonectes hascheanus","Limnonectes hascheanus"
"Limnonectes hascheanus","Polypedates Hascheanus"
"Limnonectes hascheanus","Rana (Euphlyctis) hascheana"
"Limnonectes hascheanus","Rana (Rana) hascheana"
"Limnonectes hascheanus","Rana hascheana"
"Limnonectes hascheanus","Taylorana hascheana"
"Limnonectes hascheanus","Taylorana hascheanus"
"Limnonectes heinrichi","Limnonectes (Limnonectes) heinrichi"
"Limnonectes heinrichi","Limnonectes heinrichi"
"Limnonectes heinrichi","Rana (Rana) heinrichi"
"Limnonectes heinrichi","Rana heinrichi"
"Limnonectes hikidai","Limnonectes hikidai"
"Limnonectes ibanorum","Limnonectes (Limnonectes) ibanorum"
"Limnonectes ibanorum","Limnonectes ibanorum"
"Limnonectes ibanorum","Rana ibanorum"
"Limnonectes ingeri","Limnonectes (Limnonectes) ingeri"
"Limnonectes ingeri","Limnonectes ingeri"
"Limnonectes ingeri","Rana ingeri"
"Limnonectes isanensis","Limnonectes isanensis"
"Limnonectes jarujini","Limnonectes jarujini"
"Limnonectes kadarsani","Limnonectes kadarsani"
"Limnonectes kenepaiensis","Limnonectes (Limnonectes) kenepaiensis"
"Limnonectes kenepaiensis","Limnonectes kenepaiensis"
"Limnonectes kenepaiensis","Rana paramacrodon kenepaiensis"
"Limnonectes khammonensis","Limnonectes (Limnonectes) khammonensis"
"Limnonectes khammonensis","Limnonectes khammonensis"
"Limnonectes khammonensis","Rana khammonensis"
"Limnonectes khasianus","Limnonectes (Limnonectes) khasianus"
"Limnonectes khasianus","Limnonectes (Limnonectes) laticeps"
"Limnonectes khasianus","Limnonectes khasianus"
"Limnonectes khasianus","Limnonectes khasiensis"
"Limnonectes khasianus","Limnonectes laticeps"
"Limnonectes khasianus","Polypedates affinis"
"Limnonectes khasianus","Pyxicephalus Khasianus"
"Limnonectes khasianus","Rana (Limnonectes) laticeps"
"Limnonectes khasianus","Rana (Rana) laticeps"
"Limnonectes khasianus","Rana khasiana"
"Limnonectes khasianus","Rana laticeps"
"Limnonectes kiziriani","Limnonectes kiziriani"
"Limnonectes kohchangae","Bourretia kohchangae"
"Limnonectes kohchangae","Elachyglossa kohchangae"
"Limnonectes kohchangae","Euphlyctis kohchangae"
"Limnonectes kohchangae","Hylorana kohchangae"
"Limnonectes kohchangae","Limnonectes (Bourretia) kohchangae"
"Limnonectes kohchangae","Limnonectes (Elachyglossa) kohchangae"
"Limnonectes kohchangae","Limnonectes kohchangae"
"Limnonectes kohchangae","Rana (Euphlyctis) kohchangae"
"Limnonectes kohchangae","Rana (Hylorana) kohchangae"
"Limnonectes kohchangae","Rana kohchangae"
"Limnonectes kong","Limnonectes kong"
"Limnonectes kuhlii","Dicroglossus kuhlii"
"Limnonectes kuhlii","Limnonectes (Limnonectes) kuhlii"
"Limnonectes kuhlii","Limnonectes kuhlii"
"Limnonectes kuhlii","Rana (Limnonectes) kuhlii"
"Limnonectes kuhlii","Rana (Rana) kuhli"
"Limnonectes kuhlii","Rana kuhli"
"Limnonectes kuhlii","Rana kuhlii"
"Limnonectes kuhlii","Rana palmata"
"Limnonectes larvaepartus","Limnonectes larvaepartus"
"Limnonectes lauhachindai","Limnonectes lauhachindai"
"Limnonectes leporinus","Limnonectes leporina"
"Limnonectes leporinus","Limnonectes leporinus"
"Limnonectes leporinus","Rana macrodon var. leporina"
"Limnonectes leytensis","Hylarana mindanensis"
"Limnonectes leytensis","Limnonectes (Limnonectes) leytensis"
"Limnonectes leytensis","Limnonectes leytensis"
"Limnonectes leytensis","Rana leytensis"
"Limnonectes leytensis","Rana microdisca leytensis"
"Limnonectes leytensis","Rana mindanensis"
"Limnonectes limborgi","Limnonectes (Taylorana) limborgi"
"Limnonectes limborgi","Limnonectes limborgi"
"Limnonectes limborgi","Rana (Rana) limborgii"
"Limnonectes limborgi","Rana limborgi"
"Limnonectes limborgi","Rana limborgii"
"Limnonectes limborgi","Taylorana limborgi"
"Limnonectes liui","Ingerana (Liurana) liui"
"Limnonectes liui","Ingerana liui"
"Limnonectes liui","Limnonectes (Taylorana) liui"
"Limnonectes liui","Limnonectes liui"
"Limnonectes liui","Liurana liui"
"Limnonectes liui","Micrixalus liui"
"Limnonectes liui","Platymantis liui"
"Limnonectes liui","Taylorana liui"
"Limnonectes longchuanensis","Limnonectes longchuanensis"
"Limnonectes macrocephalus","Euphlyctis magna macrocephala"
"Limnonectes macrocephalus","Limnonectes (Limnonectes) macrocephalus"
"Limnonectes macrocephalus","Limnonectes macrocephalus"
"Limnonectes macrocephalus","Rana (Euphlyctis) magna macrocephala"
"Limnonectes macrocephalus","Rana macrodon macrocephala"
"Limnonectes macrocephalus","Rana magna macrocephala"
"Limnonectes macrodon","Euphlyctis macrodon"
"Limnonectes macrodon","Limnonectes (Limnonectes) macrodon"
"Limnonectes macrodon","Limnonectes macrodon"
"Limnonectes macrodon","Rana (Euphlyctis) macrodon"
"Limnonectes macrodon","Rana (Rana) macrodon"
"Limnonectes macrodon","Rana macrodon"
"Limnonectes macrodon","Rana macrodon macrodon"
"Limnonectes macrognathus","Bourretia macrognathus"
"Limnonectes macrognathus","Elachyglossa macrognathus"
"Limnonectes macrognathus","Euphlyctis macrognathus"
"Limnonectes macrognathus","Limnonectes (Bourretia) macrognathus"
"Limnonectes macrognathus","Limnonectes (Elachyglossa) macrognathus"
"Limnonectes macrognathus","Limnonectes macrognathus"
"Limnonectes macrognathus","Rana (Euphlyctis) macrognathus"
"Limnonectes macrognathus","Rana (Rana) macrognathus"
"Limnonectes macrognathus","Rana macrognatha"
"Limnonectes macrognathus","Rana macrognatha macrognatha"
"Limnonectes macrognathus","Rana macrognathus"
"Limnonectes macrognathus","Rana macrognathus macrognathus"
"Limnonectes magnus","Euphlyctis magna"
"Limnonectes magnus","Limnonectes (Limnonectes) magnus"
"Limnonectes magnus","Limnonectes magnus"
"Limnonectes magnus","Rana (Euphlyctis) magna"
"Limnonectes magnus","Rana (Rana) magna"
"Limnonectes magnus","Rana macrodon magna"
"Limnonectes magnus","Rana magna"
"Limnonectes magnus","Rana magna magna"
"Limnonectes magnus","Rana modesta magna"
"Limnonectes malesianus","Limnonectes (Limnonectes) malesianus"
"Limnonectes malesianus","Limnonectes malesianus"
"Limnonectes malesianus","Rana malesiana"
"Limnonectes mawlyndipi","Limnonectes (Limnonectes) mawlyndipi"
"Limnonectes mawlyndipi","Limnonectes mawlindipi"
"Limnonectes mawlyndipi","Limnonectes mawlyndipi"
"Limnonectes mawlyndipi","Rana mawlyndipi"
"Limnonectes megastomias","Limnonectes megastomias"
"Limnonectes micrixalus","Limnonectes (Limnonectes) micrixalus"
"Limnonectes micrixalus","Limnonectes micrixalus"
"Limnonectes micrixalus","Rana micrixalus"
"Limnonectes microdiscus","Dicroglossus microdiscus"
"Limnonectes microdiscus","Euphlyctis microdisca"
"Limnonectes microdiscus","Limnonectes (Limnonectes) microdiscus"
"Limnonectes microdiscus","Limnonectes microdiscus"
"Limnonectes microdiscus","Rana (Euphlyctis) microdisca"
"Limnonectes microdiscus","Rana (Rana) microdisca"
"Limnonectes microdiscus","Rana microdisca"
"Limnonectes microdiscus","Rana microdisca microdisca"
"Limnonectes microtympanum","Dicroglossus microtympanum"
"Limnonectes microtympanum","Euphlyctis microtympanum"
"Limnonectes microtympanum","Limnonectes (Limnonectes) microtympanum"
"Limnonectes microtympanum","Limnonectes microtympanum"
"Limnonectes microtympanum","Rana (Euphlyctis) microtympanum"
"Limnonectes microtympanum","Rana (Rana) microtympanum"
"Limnonectes microtympanum","Rana microtympanum"
"Limnonectes mocquardi","Limnonectes mocquardi"
"Limnonectes mocquardi","Rana paradoxa"
"Limnonectes modestus","Dicroglossus modestus"
"Limnonectes modestus","Euphlyctis modesta"
"Limnonectes modestus","Limnonectes (Limnonectes) modestus"
"Limnonectes modestus","Limnonectes modestus"
"Limnonectes modestus","Rana (Euphlyctis) modesta"
"Limnonectes modestus","Rana (Rana) modesta"
"Limnonectes modestus","Rana modesta"
"Limnonectes namiyei","Limnonectes (Limnonectes) namiyei"
"Limnonectes namiyei","Limnonectes namiyei"
"Limnonectes namiyei","Rana (Limnonectes) namiyei"
"Limnonectes namiyei","Rana namiyei"
"Limnonectes nguyenorum","Limnonectes nguyenorum"
"Limnonectes nitidus","Limnonectes (Limnonectes) nitidus"
"Limnonectes nitidus","Limnonectes nitidus"
"Limnonectes nitidus","Rana nitida"
"Limnonectes palavanensis","Euphlyctis microdisca palavanensis"
"Limnonectes palavanensis","Euphlyctis palavanensis"
"Limnonectes palavanensis","Limnonectes (Limnonectes) palavanensis"
"Limnonectes palavanensis","Limnonectes palavanensis"
"Limnonectes palavanensis","Rana (Euphlyctis) microdisca palavanensis"
"Limnonectes palavanensis","Rana (Rana) palavanensis"
"Limnonectes palavanensis","Rana microdisca palavanensis"
"Limnonectes palavanensis","Rana palavanensis"
"Limnonectes paramacrodon","Limnonectes (Limnonectes) paramacrodon"
"Limnonectes paramacrodon","Limnonectes paramacrodon"
"Limnonectes paramacrodon","Rana paramacrodon"
"Limnonectes paramacrodon","Rana paramacrodon paramacrodon"
"Limnonectes parvus","Euphlyctis microdisca parva"
"Limnonectes parvus","Limnonectes (Limnonectes) parvus"
"Limnonectes parvus","Limnonectes parvus"
"Limnonectes parvus","Rana (Euphlyctis) microdisca parva"
"Limnonectes parvus","Rana microdisca parva"
"Limnonectes parvus","Rana parva"
"Limnonectes plicatellus","Bourretia plicatellus"
"Limnonectes plicatellus","Elachyglossa plicatellus"
"Limnonectes plicatellus","Euphlyctis plicatella"
"Limnonectes plicatellus","Limnonectes (Bourretia) plicatellus"
"Limnonectes plicatellus","Limnonectes (Elachyglossa) plicatellus"
"Limnonectes plicatellus","Limnonectes plicatellus"
"Limnonectes plicatellus","Rana (Euphlyctis) plicatella"
"Limnonectes plicatellus","Rana (Rana) plicatella"
"Limnonectes plicatellus","Rana plicatella"
"Limnonectes poilani","Limnonectes poilani"
"Limnonectes poilani","Rana kohchangae poilani"
"Limnonectes quangninhensis","Limnonectes quangninhensis"
"Limnonectes rhacodus","Limnonectes rhacoda"
"Limnonectes rhacodus","Limnonectes rhacodus"
"Limnonectes rhacodus","Rana rhacoda"
"Limnonectes savan","Elachyglossa savan"
"Limnonectes savan","Limnonectes (Elachyglossa) savan"
"Limnonectes savan","Limnonectes savan"
"Limnonectes selatan","Limnonectes selatan"
"Limnonectes shompenorum","Limnonectes shompenorum"
"Limnonectes sinuatodorsalis","Limnonectes sinuatodorsalis"
"Limnonectes sisikdagu","Limnonectes sisikdagu"
"Limnonectes taylori","Limnonectes taylori"
"Limnonectes timorensis","Limnonectes (Limnonectes) timorensis"
"Limnonectes timorensis","Limnonectes timorensis"
"Limnonectes timorensis","Rana timorensis"
"Limnonectes tweediei","Limnonectes (Limnonectes) tweediei"
"Limnonectes tweediei","Limnonectes tweediei"
"Limnonectes tweediei","Rana tweediei"
"Limnonectes tweediei","Rana ulikalensis"
"Limnonectes tweediei","Rana ulukalensis"
"Limnonectes utara","Limnonectes utara"
"Limnonectes visayanus","Limnonectes (Limnonectes) visayanus"
"Limnonectes visayanus","Limnonectes visayanus"
"Limnonectes visayanus","Rana macrodon visayanus"
"Limnonectes visayanus","Rana magna visayanus"
"Limnonectes woodworthi","Limnonectes (Limnonectes) woodworthi"
"Limnonectes woodworthi","Limnonectes woodworthi"
"Limnonectes woodworthi","Rana woodworthi"
"Minervarya agricola","Fejervarya agricola"
"Minervarya agricola","Fejervarya granosa"
"Minervarya agricola","Minervarya agricola"
"Minervarya agricola","Minervarya granosa"
"Minervarya agricola","Rana agricola"
"Minervarya agricola","Zakerana granosa"
"Minervarya andamanensis","Euphlyctis limnocharis andamanensis"
"Minervarya andamanensis","Fejervarya andamanensis"
"Minervarya andamanensis","Limnonectes (Fejervarya) andamanensis"
"Minervarya andamanensis","Limnonectes andamanensis"
"Minervarya andamanensis","Minervarya andamanensis"
"Minervarya andamanensis","Rana (Fejervarya) andamanensis"
"Minervarya andamanensis","Rana andamanensis"
"Minervarya andamanensis","Rana gracilis var. andamanensis"
"Minervarya andamanensis","Rana limnocharis andamanensis"
"Minervarya asmati","Fejervarya asmati"
"Minervarya asmati","Minervarya asmati"
"Minervarya asmati","Zakerana asmati"
"Minervarya brevipalmata","Dicroglossus brevipalmatus"
"Minervarya brevipalmata","Euphlyctis limnocharis brevipalmata"
"Minervarya brevipalmata","Fejervarya brevipalmata"
"Minervarya brevipalmata","Fejervarya brevipalmatus"
"Minervarya brevipalmata","Limnonectes (Fejervarya) brevipalmatus"
"Minervarya brevipalmata","Limnonectes brevipalmatus"
"Minervarya brevipalmata","Minervarya brevipalmata"
"Minervarya brevipalmata","Rana (Euphlyctis) limnocharis brevipalmata"
"Minervarya brevipalmata","Rana (Rana) brevipalmata"
"Minervarya brevipalmata","Rana brevipalmata"
"Minervarya brevipalmata","Rana limnocharis brevipalmata"
"Minervarya brevipalmata","Rana limnocharis parvipalmata"
"Minervarya brevipalmata","Zakerana brevipalmata"
"Minervarya caperata","Fejervarya caperata"
"Minervarya caperata","Minervarya caperata"
"Minervarya caperata","Zakerana caperata"
"Minervarya cepfi","Fejervarya cepfi"
"Minervarya cepfi","Minervarya cepfi"
"Minervarya chiangmaiensis","Fejervarya chiangmaiensis"
"Minervarya chiangmaiensis","Minervarya chiangmaiensis"
"Minervarya chilapata","Fejervarya chilapata"
"Minervarya chilapata","Minervarya chilapata"
"Minervarya dhaka","Fejervarya dhaka"
"Minervarya dhaka","Minervarya dhaka"
"Minervarya dhaka","Zakerana dhaka"
"Minervarya goemchi","Fejervarya goemchi"
"Minervarya goemchi","Minervarya goemchi"
"Minervarya gomantaki","Fejervarya gomantaki"
"Minervarya gomantaki","Minervarya gomantaki"
"Minervarya greenii","Euphlyctis greenii"
"Minervarya greenii","Fejervarya greenii"
"Minervarya greenii","Limnonectes (Fejervarya) greenii"
"Minervarya greenii","Limnonectes greenii"
"Minervarya greenii","Minervarya greenii"
"Minervarya greenii","Rana (Euphlyctis) greenii"
"Minervarya greenii","Rana (Fejervarya) greenii"
"Minervarya greenii","Rana (Rana) greenii"
